               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12648,            0.016916,                   0,               0.005,             0.46154,           0.0068488,           0.0016081,             0.13568,           0.0052995,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.12425,            0.021139,                   0,               0.005,             0.46154,           0.0050296,           0.0014834,             0.13297,           0.0059265,                   0,            0.091897,          0.00089703,          0.00089703
                   2,               0.121,            0.019552,                   0,           0.0066667,             0.61538,            0.023117,           0.0041991,             0.13015,           0.0065607,                   0,            0.087391,           0.0013908,           0.0013908
                   3,             0.11905,            0.022749,                   0,           0.0041667,             0.38462,            0.011049,           0.0035924,             0.12746,           0.0070466,                   0,            0.082881,           0.0018812,           0.0018812
                   4,             0.11628,            0.023565,                   0,           0.0091667,             0.84615,            0.026333,           0.0049844,             0.12263,           0.0076742,                   0,            0.078368,           0.0023683,           0.0023683
                   5,             0.11385,            0.023046,                   0,              0.0075,             0.69231,            0.012112,            0.003103,             0.12132,           0.0081017,                   0,            0.073852,           0.0028522,           0.0028522
                   6,             0.10971,            0.027644,                   0,           0.0083333,             0.76923,            0.018082,            0.005597,             0.11597,           0.0091066,                   0,            0.069333,           0.0033327,           0.0033327
                   7,             0.10647,            0.025798,                   0,                0.01,             0.92308,            0.020582,           0.0058613,             0.11496,           0.0092269,                   0,             0.06481,           0.0038099,           0.0038099
                   8,             0.10545,            0.028361,                   0,           0.0091667,             0.84615,              0.0235,           0.0055558,              0.1132,            0.010216,                   0,            0.060284,           0.0042838,           0.0042838
                   9,             0.10462,            0.028862,                   0,                0.01,             0.92308,            0.026063,            0.005808,             0.10723,            0.010962,                   0,            0.055754,           0.0047545,           0.0047545
                  10,             0.10313,            0.028475,                   0,           0.0091667,             0.84615,            0.015215,            0.005154,             0.10943,            0.010433,                   0,            0.051222,           0.0052218,           0.0052218
                  11,              0.1037,            0.029329,                   0,            0.019066,             0.53846,            0.015515,           0.0044218,             0.10564,            0.011144,                   0,            0.046686,           0.0056858,           0.0056858
                  12,             0.09881,            0.026842,                   0,            0.013755,             0.76923,             0.02515,           0.0055544,             0.10687,            0.011354,                   0,            0.042147,           0.0061466,           0.0061466
                  13,            0.097831,            0.026131,                   0,             0.21869,             0.38462,             0.14168,            0.041258,             0.10603,            0.011453,                   0,            0.037604,            0.006604,            0.006604
                  14,             0.09398,            0.025642,                   0,             0.13197,             0.30769,             0.14852,            0.021048,             0.10808,            0.012271,                   0,            0.033058,           0.0070581,           0.0070581
                  15,             0.09464,            0.025518,                   0,            0.066462,             0.53846,            0.065552,            0.016349,             0.10934,            0.012912,                   0,            0.028509,           0.0075089,           0.0075089
                  16,            0.091434,            0.025359,                   0,             0.33115,             0.15385,             0.17043,            0.035607,             0.10847,            0.013469,                   0,            0.023956,           0.0079565,           0.0079565
                  17,            0.089873,             0.02494,                   0,             0.34707,             0.23077,             0.15468,            0.035078,             0.10771,            0.012064,                   0,            0.019401,           0.0084007,           0.0084007
                  18,            0.090694,            0.024804,                   0,             0.35411,             0.29618,             0.30614,            0.076209,             0.10736,            0.011478,                   0,            0.014842,           0.0088416,           0.0088416
                  19,            0.086926,            0.024196,                   0,             0.41725,             0.30769,             0.27378,            0.067467,             0.10585,             0.01073,                   0,            0.010279,           0.0092793,           0.0092793
                  20,            0.089035,            0.025453,                   0,             0.48545,             0.30769,             0.35651,             0.11439,            0.099697,            0.010161,                   0,             0.00934,             0.00934,             0.00934
                  21,            0.089745,            0.024561,                   0,             0.44737,             0.38462,             0.30764,            0.080266,            0.097967,           0.0095675,                   0,             0.00934,             0.00934,             0.00934
                  22,             0.08513,            0.022475,                   0,             0.38863,             0.49005,              0.3266,            0.096015,            0.098471,           0.0091335,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.082253,             0.02258,                   0,             0.33792,             0.61538,             0.34014,            0.084484,            0.097885,           0.0093681,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.087347,            0.023587,                   0,              0.2012,             0.76923,             0.26107,            0.070757,            0.097006,            0.010583,                   0,            0.009241,            0.009241,            0.009241
                  25,              0.0901,            0.021379,                   0,             0.19494,             0.46154,             0.17032,            0.038598,            0.096425,            0.010861,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.084704,            0.023997,                   0,             0.24408,             0.23077,             0.15425,            0.042245,            0.095025,            0.012091,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.079258,             0.02273,                   0,             0.12106,             0.30769,             0.12507,            0.041728,            0.093248,            0.015857,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.083702,            0.022238,                   0,            0.081503,             0.23077,            0.035524,           0.0096722,             0.10488,            0.013305,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.090751,            0.020166,                   0,            0.069023,            0.076923,            0.028359,           0.0075897,            0.099389,            0.011689,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.083135,            0.022133,                   0,              0.2685,             0.50898,             0.18459,            0.035898,            0.093091,            0.011161,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.075644,            0.021459,                   0,             0.17994,             0.23077,             0.13874,            0.036023,            0.084301,            0.010754,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.076441,            0.022137,                   0,             0.23573,             0.53846,             0.22984,            0.062357,            0.084703,            0.010288,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.079174,            0.021131,                   0,             0.25425,             0.76923,             0.44664,             0.13222,            0.086552,           0.0086002,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.071011,            0.022655,                   0,             0.45179,             0.69231,             0.61007,             0.18655,            0.075642,           0.0084506,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.067994,            0.024255,                   0,             0.24494,             0.84615,             0.28203,            0.092537,            0.076916,           0.0085356,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.077219,            0.022058,                   0,             0.38882,             0.46154,             0.43446,             0.14369,            0.082573,           0.0084519,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.080845,            0.020637,                   0,             0.27987,             0.61538,             0.25881,            0.078957,            0.085815,           0.0082824,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.069378,            0.021155,                   0,             0.26092,             0.76923,             0.34602,            0.076032,            0.082655,           0.0085557,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.066386,            0.019625,                   0,             0.82581,             0.30769,              0.4612,             0.12757,            0.085074,            0.008152,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.071315,            0.021794,                   0,             0.27633,             0.61538,             0.31401,            0.080292,            0.082644,           0.0083363,                   0,            0.008713,            0.008713,            0.008713
                  41,             0.07524,            0.019563,                   0,             0.31494,             0.46154,             0.35897,             0.12215,            0.078076,           0.0085952,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.063846,            0.021233,                   0,             0.35989,             0.61538,             0.37138,             0.11963,            0.079314,           0.0083864,                   0,            0.008647,            0.008647,            0.008647
                  43,             0.06467,            0.022796,                   0,             0.36495,             0.84615,             0.39127,             0.11826,            0.079078,           0.0082719,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.072557,             0.02168,                   0,             0.42904,             0.61538,             0.51224,             0.15029,            0.075548,           0.0074856,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.074332,            0.018867,                   0,              0.3054,             0.61538,             0.33965,             0.10185,            0.079085,           0.0074805,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.067999,            0.021303,                   0,             0.56338,             0.59659,             0.53208,              0.1298,            0.070169,            0.007802,                   0,            0.008515,            0.008515,            0.008515
