               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10475,            0.043521,                   0,           0.0026812,             0.24667,           0.0016713,          0.00075546,             0.10507,            0.029013,                   0,                0.01,                0.01,                0.01
                   1,            0.092115,            0.051033,                   0,           0.0076812,             0.70667,           0.0085558,           0.0028024,            0.096064,             0.03128,                   0,                0.01,                0.01,                0.01
                   2,             0.08363,            0.053225,                   0,           0.0075362,             0.69333,            0.014419,            0.002984,            0.084416,            0.032331,                   0,            0.009967,            0.009967,            0.009967
                   3,             0.07797,             0.05041,                   0,             0.18419,             0.54667,             0.25536,            0.083295,            0.073355,            0.031895,                   0,            0.009934,            0.009934,            0.009934
                   4,            0.073031,             0.05214,                   0,             0.19083,             0.42667,             0.19612,            0.075428,            0.062801,            0.031269,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.069068,            0.050573,                   0,             0.20887,                 0.5,             0.22442,            0.095754,            0.062672,            0.028418,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.065884,            0.049204,                   0,             0.26065,             0.49591,             0.30129,             0.06887,            0.065825,            0.029259,                   0,            0.009835,            0.009835,            0.009835
                   7,              0.0625,            0.048069,                   0,             0.34871,             0.76667,             0.35277,             0.11893,            0.055641,            0.028165,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.058915,            0.046233,                   0,             0.36164,             0.34667,             0.21597,             0.05503,            0.070199,            0.031092,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.057743,            0.044041,                   0,             0.18912,             0.40667,             0.16127,            0.041871,            0.070045,            0.027001,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.055025,            0.043121,                   0,              0.4001,             0.68667,             0.37862,             0.13411,            0.056667,            0.028252,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.055349,            0.039769,                   0,             0.78692,             0.76327,             0.76975,             0.31247,            0.048034,            0.024676,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.050876,            0.039144,                   0,             0.76956,             0.91333,             0.83202,             0.40791,             0.04623,            0.021977,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.048987,            0.038674,                   0,              0.7138,             0.78667,             0.77745,             0.32927,            0.051709,             0.02286,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.047948,            0.037553,                   0,             0.55499,             0.70667,             0.55606,             0.18419,            0.063687,            0.023587,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.044033,            0.035092,                   0,             0.60638,             0.83188,             0.65954,              0.3208,            0.046628,            0.027382,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.046489,            0.036114,                   0,             0.92462,             0.89954,              0.9412,             0.45646,            0.040077,            0.019426,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.043946,            0.032927,                   0,             0.93278,             0.92515,             0.93164,             0.61953,            0.039531,            0.018369,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.043272,            0.033028,                   0,             0.87935,             0.90667,             0.88404,             0.54337,             0.03814,            0.019904,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.038865,            0.030604,                   0,             0.88963,             0.94667,             0.89742,              0.5567,            0.037939,            0.020633,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.041642,            0.030541,                   0,             0.80385,             0.90667,             0.83829,             0.54917,            0.039686,            0.016811,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.039067,             0.03093,                   0,             0.93065,             0.94667,             0.95756,             0.58621,            0.036033,             0.01664,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.036872,             0.02836,                   0,             0.92194,             0.94667,             0.92874,             0.58977,            0.033482,            0.017504,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.036166,            0.028156,                   0,             0.91802,             0.94667,             0.92048,             0.58749,            0.033629,            0.015296,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.036378,            0.027269,                   0,             0.94692,             0.95153,              0.9642,             0.66346,            0.032574,            0.013731,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.035213,            0.026319,                   0,              0.9589,                0.94,             0.95083,             0.63913,            0.035724,            0.014612,                   0,            0.009208,            0.009208,            0.009208
                  26,             0.03799,            0.027644,                   0,             0.94028,             0.94475,              0.9566,              0.6553,            0.031905,            0.018744,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.033654,            0.027681,                   0,             0.91641,             0.95009,             0.92438,             0.59925,            0.033001,            0.016942,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.034109,            0.027499,                   0,             0.94625,             0.93892,             0.95431,             0.71249,            0.029075,            0.014549,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.033102,            0.025598,                   0,             0.96574,             0.93967,             0.95579,             0.64711,            0.032901,            0.014173,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.034432,             0.02499,                   0,             0.95835,             0.95333,             0.96964,             0.67089,            0.030219,            0.012865,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.031916,            0.025148,                   0,             0.98424,             0.95333,             0.96185,             0.73594,             0.03247,            0.012701,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.031506,            0.025603,                   0,             0.95125,                0.94,             0.95487,             0.67277,            0.030914,            0.014796,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.030951,            0.023669,                   0,              0.9514,             0.94667,             0.96223,             0.72684,            0.027319,            0.012817,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.031354,            0.024212,                   0,             0.96606,              0.9488,             0.96137,             0.76864,            0.030538,              0.0119,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.030811,             0.02299,                   0,             0.95178,             0.95333,             0.97816,             0.72136,            0.029563,            0.012078,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.030989,            0.023734,                   0,             0.95946,             0.94674,             0.96599,             0.73858,            0.028402,            0.011998,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.031015,            0.025362,                   0,             0.94832,                0.96,             0.96966,             0.72973,            0.027249,             0.01225,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.031011,            0.023227,                   0,             0.97264,             0.94787,             0.97136,             0.68175,            0.032739,            0.012511,                   0,            0.008779,            0.008779,            0.008779
                  39,             0.02796,            0.022667,                   0,             0.95806,                0.96,              0.9646,             0.73654,            0.026326,            0.012778,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.030074,            0.023047,                   0,             0.95926,             0.94193,             0.96805,             0.78078,            0.026325,            0.011253,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.028171,            0.021433,                   0,             0.96384,                0.96,              0.9696,              0.7556,            0.025377,            0.011533,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.027055,            0.021992,                   0,             0.96326,             0.95333,             0.96679,             0.76823,            0.024679,            0.011963,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.028213,            0.022313,                   0,             0.96436,                0.96,              0.9726,             0.79528,            0.024466,            0.011279,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.027267,            0.021966,                   0,              0.9572,             0.94667,             0.96357,             0.74562,            0.030225,            0.012974,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.028081,             0.02131,                   0,             0.96118,             0.95333,             0.96001,             0.77592,            0.024652,            0.010772,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.029525,            0.021547,                   0,             0.97279,             0.95319,             0.97336,             0.72396,            0.026228,            0.011179,                   0,            0.008515,            0.008515,            0.008515
                  47,             0.02711,            0.021849,                   0,             0.97519,             0.94667,             0.97047,              0.7792,            0.025019,            0.010512,                   0,            0.008482,            0.008482,            0.008482
